,wallTime,epoch,exp,tag,value
217,1638570403,0029,2021.12.03-22.24,duration_ms_mse_epoch,18351.48
218,1638570403,0029,2021.12.03-22.24,note_count_mse_epoch,7.955309
219,1638570403,0029,2021.12.03-22.24,epoch,0.0
220,1638571350,0499,2021.12.03-22.24,hp_metric,-1.0
221,1638571360,0499,2021.12.03-22.24,levenshtein_step,145.30417
222,1638571360,0499,2021.12.03-22.24,duration_ms_mse_step,18337.883
223,1638571360,0499,2021.12.03-22.24,note_count_mse_step,6.7738733
224,1638571367,0499,2021.12.03-22.24,levenshtein_step,11.519445
225,1638571367,0499,2021.12.03-22.24,duration_ms_mse_step,24288.217
226,1638571367,0499,2021.12.03-22.24,note_count_mse_step,11.0672035
227,1638571367,0499,2021.12.03-22.24,levenshtein_epoch,111.85799
228,1638571367,0499,2021.12.03-22.24,duration_ms_mse_epoch,19825.467
229,1638571367,0499,2021.12.03-22.24,note_count_mse_epoch,7.8472056
230,1638571367,0499,2021.12.03-22.24,epoch,0.0
231,1638571369,0509,2021.12.03-22.24,hp_metric,-1.0
232,1638571379,0509,2021.12.03-22.24,levenshtein_step,145.30417
233,1638571379,0509,2021.12.03-22.24,duration_ms_mse_step,18322.021
234,1638571379,0509,2021.12.03-22.24,note_count_mse_step,6.783496
235,1638571384,0509,2021.12.03-22.24,levenshtein_step,11.557182
236,1638571384,0509,2021.12.03-22.24,duration_ms_mse_step,17911.39
237,1638571384,0509,2021.12.03-22.24,note_count_mse_step,11.001309
238,1638571384,0509,2021.12.03-22.24,levenshtein_epoch,111.867424
239,1638571384,0509,2021.12.03-22.24,duration_ms_mse_epoch,18219.363
240,1638571384,0509,2021.12.03-22.24,note_count_mse_epoch,7.8379493
241,1638571384,0509,2021.12.03-22.24,epoch,0.0
242,1638570665,0179,2021.12.03-22.24,hp_metric,-1.0
243,1638570678,0179,2021.12.03-22.24,levenshtein_step,145.30043
244,1638570678,0179,2021.12.03-22.24,duration_ms_mse_step,17971.271
245,1638570678,0179,2021.12.03-22.24,note_count_mse_step,7.44145
246,1638570688,0179,2021.12.03-22.24,levenshtein_step,11.580767
247,1638570688,0179,2021.12.03-22.24,duration_ms_mse_step,19562.184
248,1638570688,0179,2021.12.03-22.24,note_count_mse_step,35.985043
249,1638570688,0179,2021.12.03-22.24,levenshtein_epoch,111.870514
250,1638570688,0179,2021.12.03-22.24,duration_ms_mse_epoch,18369.0
251,1638570688,0179,2021.12.03-22.24,note_count_mse_epoch,14.577348
252,1638570688,0179,2021.12.03-22.24,epoch,0.0
253,1638570985,0339,2021.12.03-22.24,hp_metric,-1.0
254,1638570994,0339,2021.12.03-22.24,levenshtein_step,145.30324
255,1638570994,0339,2021.12.03-22.24,duration_ms_mse_step,18337.883
256,1638570994,0339,2021.12.03-22.24,note_count_mse_step,6.7641196
257,1638571003,0339,2021.12.03-22.24,levenshtein_step,11.505295
258,1638571003,0339,2021.12.03-22.24,duration_ms_mse_step,25215.447
259,1638571003,0339,2021.12.03-22.24,note_count_mse_step,13.483556
260,1638571003,0339,2021.12.03-22.24,levenshtein_epoch,111.853745
261,1638571003,0339,2021.12.03-22.24,duration_ms_mse_epoch,20057.273
262,1638571003,0339,2021.12.03-22.24,note_count_mse_epoch,8.443978
263,1638571003,0339,2021.12.03-22.24,epoch,0.0
264,1638572337,1019,2021.12.03-22.24,hp_metric,-1.0
